zone,lat,long,crimeRank,educationRank,employmentRank,geographicAccessRank,healthRank,housingRank,incomeRank,rank
http://statistics.data.gov.uk/id/statistical-geography/S01000153,57.15694,-2.09275,2718,1548,3288,4365,1642,694,3979,2913
http://statistics.data.gov.uk/id/statistical-geography/S01000154,57.15669,-2.1724,2310,1435,2382,4087,3648,1551,3150,2711
http://statistics.data.gov.uk/id/statistical-geography/S01000155,57.15761,-2.15736,1330,862,1897,6251,1590,1444,2567,1897
http://statistics.data.gov.uk/id/statistical-geography/S01000156,57.15785,-2.10479,1012,1222,3309,5522,1627,439,2388,2240
http://statistics.data.gov.uk/id/statistical-geography/S01000157,57.15817,-2.14331,402,1589,1001,3576,104,2788,1086,762
http://statistics.data.gov.uk/id/statistical-geography/S01000158,57.15862,-2.14067,2514,2793,2689,3879,512,2480,2746,2209
http://statistics.data.gov.uk/id/statistical-geography/S01000159,57.15957,-2.22614,4506,5914,6099,2927,5110,6274,6135,6193
http://statistics.data.gov.uk/id/statistical-geography/S01000160,57.15878,-2.15819,3061,2143,2954,5218,1920,1548,3607,3077
http://statistics.data.gov.uk/id/statistical-geography/S01000161,57.15971,-2.10881,3820,5055,6362,6230,6327,1942,5975,6388
http://statistics.data.gov.uk/id/statistical-geography/S01000162,57.15968,-2.12999,2554,2430,2773,3519,2724,2918,3351,3061
http://statistics.data.gov.uk/id/statistical-geography/S01000163,57.15706,-2.1681,1501,820,1931,4950,700,1009,2276,1560
http://statistics.data.gov.uk/id/statistical-geography/S01000164,57.16,-2.09,2592,2628,4610,3364,2425,992,3734,3645
http://statistics.data.gov.uk/id/statistical-geography/S01000165,57.16035,-2.12282,1118,1177,967,3468,657,1436,1605,1114
http://statistics.data.gov.uk/id/statistical-geography/S01000166,57.16055,-2.09939,2700,3480,6174,5774,5164,660,5950,5709
http://statistics.data.gov.uk/id/statistical-geography/S01000167,57.1605,-2.14977,3106,1859,3086,4489,1962,2962,2359,2642
http://statistics.data.gov.uk/id/statistical-geography/S01000168,57.15968,-2.15538,1531,443,2423,4913,517,1175,2024,1403
http://statistics.data.gov.uk/id/statistical-geography/S01000169,57.16096,-2.13704,2275,2863,2739,3298,2768,4812,4229,3374
http://statistics.data.gov.uk/id/statistical-geography/S01000170,57.16036,-2.1043,3167,4876,6020,5429,4311,981,5812,5820
http://statistics.data.gov.uk/id/statistical-geography/S01000171,57.16023,-2.21093,4245,4982,6200,890,6173,6366,6343,5684
http://statistics.data.gov.uk/id/statistical-geography/S01000172,57.16015,-2.1334,4446,3168,5264,2952,3731,2229,5612,4990
http://statistics.data.gov.uk/id/statistical-geography/S01000173,57.16158,-2.14035,2089,1332,2431,3655,1242,2299,2577,2090
http://statistics.data.gov.uk/id/statistical-geography/S01000174,57.16039,-2.2192,6009,6290,6487,1558,6147,6427,6497,6309
http://statistics.data.gov.uk/id/statistical-geography/S01000175,57.16086,-2.11578,335,1942,3024,6184,3195,990,3826,3012
http://statistics.data.gov.uk/id/statistical-geography/S01000176,57.16136,-2.09157,5551,5521,6091,4477,4192,708,5505,5862
http://statistics.data.gov.uk/id/statistical-geography/S01000177,57.16193,-2.11884,2757,4775,6168,4922,4558,4758,5741,5958
http://statistics.data.gov.uk/id/statistical-geography/S01000178,57.16345,-2.15887,1845,1438,2505,5767,2141,1721,2594,2399
http://statistics.data.gov.uk/id/statistical-geography/S01000179,57.16738,-2.09093,560,306,621,3446,71,1252,579,351
http://statistics.data.gov.uk/id/statistical-geography/S01000180,57.16282,-2.16184,2884,1663,2078,6237,1451,1207,2001,2053
http://statistics.data.gov.uk/id/statistical-geography/S01000181,57.16463,-2.14796,668,334,1245,4361,1135,856,1416,1002
http://statistics.data.gov.uk/id/statistical-geography/S01000182,57.16316,-2.1711,3118,877,2172,4743,1021,1653,2657,1921
http://statistics.data.gov.uk/id/statistical-geography/S01000183,57.16395,-2.11092,429,1431,2980,4606,1556,756,2445,2106
http://statistics.data.gov.uk/id/statistical-geography/S01000184,57.16375,-2.12056,2845,3513,5200,5162,4114,4851,5234,5240
http://statistics.data.gov.uk/id/statistical-geography/S01000185,57.16467,-2.09018,465,882,1211,4498,287,1510,1531,959
http://statistics.data.gov.uk/id/statistical-geography/S01000186,57.16375,-2.13358,2653,4846,3860,4010,1829,3927,3485,3755
http://statistics.data.gov.uk/id/statistical-geography/S01000187,57.16401,-2.14267,1686,650,2166,4667,1413,1873,3148,1972
http://statistics.data.gov.uk/id/statistical-geography/S01000188,57.16504,-2.09539,1725,3092,3400,5350,662,927,3435,2706
http://statistics.data.gov.uk/id/statistical-geography/S01000189,57.16526,-2.14962,935,228,1836,3537,1201,948,637,828
http://statistics.data.gov.uk/id/statistical-geography/S01000190,57.16487,-2.16731,367,905,1716,6193,1278,2076,2336,1630
http://statistics.data.gov.uk/id/statistical-geography/S01000191,57.16627,-2.12697,2614,3563,5365,5290,3247,3389,5130,5052
http://statistics.data.gov.uk/id/statistical-geography/S01000192,57.16756,-2.09539,715,871,2318,5828,622,788,1636,1424
http://statistics.data.gov.uk/id/statistical-geography/S01000193,57.16712,-2.16401,1997,756,1330,6185,718,1159,1709,1295
http://statistics.data.gov.uk/id/statistical-geography/S01000194,57.16727,-2.11722,287,557,1427,5693,446,1367,1013,872
http://statistics.data.gov.uk/id/statistical-geography/S01000195,57.16748,-2.11031,656,919,625,4056,713,1654,1375,863
http://statistics.data.gov.uk/id/statistical-geography/S01000196,57.1683,-2.15922,107,38,722,5811,221,1917,430,284
http://statistics.data.gov.uk/id/statistical-geography/S01000197,57.16783,-2.17063,2105,469,2422,4998,1742,1108,2484,1873
http://statistics.data.gov.uk/id/statistical-geography/S01000198,57.16877,-2.14401,648,201,903,3762,242,1594,342,387
http://statistics.data.gov.uk/id/statistical-geography/S01000199,57.16798,-2.12185,323,562,1276,6261,152,1511,869,689
http://statistics.data.gov.uk/id/statistical-geography/S01000200,57.16965,-2.13408,1614,906,2381,5620,1341,1553,2645,2026
http://statistics.data.gov.uk/id/statistical-geography/S01000201,57.16854,-2.13885,1979,2591,2121,4762,929,1768,2559,2151
http://statistics.data.gov.uk/id/statistical-geography/S01000202,57.16878,-2.12913,1278,2967,3974,6421,1745,2003,3629,3452
http://statistics.data.gov.uk/id/statistical-geography/S01000203,57.16969,-2.1164,219,166,916,4912,275,1545,766,496
http://statistics.data.gov.uk/id/statistical-geography/S01000204,57.1702,-2.1678,1335,1470,1129,2926,1516,1890,1731,1404
http://statistics.data.gov.uk/id/statistical-geography/S01000205,57.16935,-2.09722,1672,1771,4243,4593,1580,762,4098,3178
http://statistics.data.gov.uk/id/statistical-geography/S01000206,57.17027,-2.16485,2630,1819,3704,2773,1485,3628,3758,2959
http://statistics.data.gov.uk/id/statistical-geography/S01000207,57.16947,-2.09287,1241,1415,914,4088,350,1804,905,847
http://statistics.data.gov.uk/id/statistical-geography/S01000208,57.17064,-2.15411,184,145,446,4400,391,1609,798,396
http://statistics.data.gov.uk/id/statistical-geography/S01000209,57.17146,-2.14766,234,144,983,5045,61,1584,283,275
http://statistics.data.gov.uk/id/statistical-geography/S01000210,57.1713,-2.12616,291,404,373,6496,176,712,986,430
http://statistics.data.gov.uk/id/statistical-geography/S01000211,57.17086,-2.11243,230,1483,1364,5183,315,994,1191,986
http://statistics.data.gov.uk/id/statistical-geography/S01000212,57.17117,-2.16023,1561,992,3051,2178,1496,1951,2464,2012
http://statistics.data.gov.uk/id/statistical-geography/S01000213,57.17217,-2.13678,133,1149,1350,5880,2154,1179,2268,1583
http://statistics.data.gov.uk/id/statistical-geography/S01000214,57.17168,-2.19066,3783,2232,3236,3267,3396,4439,3951,3576
http://statistics.data.gov.uk/id/statistical-geography/S01000215,57.17823,-2.20847,2100,5415,5634,625,3498,5507,5061,4493
